id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tanah_longsor,satuan,tahun
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69,KEJADIAN,2018
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21,KEJADIAN,2018
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16,KEJADIAN,2018
167,32,JAWA BARAT,3205,KABUPATEN GARUT,33,KEJADIAN,2018
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16,KEJADIAN,2018
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25,KEJADIAN,2018
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,55,KEJADIAN,2018
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,4,KEJADIAN,2018
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,55,KEJADIAN,2018
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,37,KEJADIAN,2018
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2018
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,KEJADIAN,2018
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,KEJADIAN,2018
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2018
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2018
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28,KEJADIAN,2018
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,KEJADIAN,2018
181,32,JAWA BARAT,3271,KOTA BOGOR,101,KEJADIAN,2018
182,32,JAWA BARAT,3272,KOTA SUKABUMI,3,KEJADIAN,2018
183,32,JAWA BARAT,3273,KOTA BANDUNG,11,KEJADIAN,2018
184,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2018
185,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2018
186,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2018
187,32,JAWA BARAT,3277,KOTA CIMAHI,11,KEJADIAN,2018
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19,KEJADIAN,2018
189,32,JAWA BARAT,3279,KOTA BANJAR,0,KEJADIAN,2018
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,68,KEJADIAN,2019
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,100,KEJADIAN,2019
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7,KEJADIAN,2019
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20,KEJADIAN,2019
194,32,JAWA BARAT,3205,KABUPATEN GARUT,39,KEJADIAN,2019
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,23,KEJADIAN,2019
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,32,KEJADIAN,2019
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,34,KEJADIAN,2019
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,KEJADIAN,2019
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,37,KEJADIAN,2019
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50,KEJADIAN,2019
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2019
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,11,KEJADIAN,2019
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10,KEJADIAN,2019
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,KEJADIAN,2019
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2019
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26,KEJADIAN,2019
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,KEJADIAN,2019
208,32,JAWA BARAT,3271,KOTA BOGOR,112,KEJADIAN,2019
209,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2019
210,32,JAWA BARAT,3273,KOTA BANDUNG,6,KEJADIAN,2019
211,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2019
212,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2019
213,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2019
214,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2019
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,18,KEJADIAN,2019
216,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2019
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,133,KEJADIAN,2020
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,128,KEJADIAN,2020
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21,KEJADIAN,2020
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16,KEJADIAN,2020
221,32,JAWA BARAT,3205,KABUPATEN GARUT,72,KEJADIAN,2020
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,29,KEJADIAN,2020
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77,KEJADIAN,2020
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,51,KEJADIAN,2020
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,5,KEJADIAN,2020
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,53,KEJADIAN,2020
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,82,KEJADIAN,2020
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2020
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,18,KEJADIAN,2020
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19,KEJADIAN,2020
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2020
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,KEJADIAN,2020
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34,KEJADIAN,2020
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,KEJADIAN,2020
235,32,JAWA BARAT,3271,KOTA BOGOR,73,KEJADIAN,2020
